Parameter,-50%,,,,-30%,,,,-20%,,,,-10%,,,,+10%,,,,+20%,,,,+30%,,,,+50%,,,,
exposedDays,185703.61241925904,5915.362424816601,652057.5205919198,1996212.173686971,181916.46561204945,5794.733970984638,674954.5861871204,2065511.410633293,179474.00239145185,5716.936468800951,690895.4968036526,2113858.84589041,179987.98080447502,5733.307743009968,707781.4263375251,2164957.725061947,176850.68072829046,5633.378200694937,755417.2200394996,2309586.597112574,175480.7154510021,5589.741759639448,781651.6319917433,2388848.7911764686,174581.8934144917,5561.111599548006,809929.3433209924,2474882.6484648287,170444.248388608,5429.31028058841,878371.6262497039,2682911.4348116564,
infectiousDays,195101.90720253263,3157.64757084422,708006.830319639,2165755.8464109707,187853.48218718224,4229.099825216799,718794.8926012127,2198220.1839134563,185291.83523857457,4752.069824352027,722105.742479996,2208210.9860679884,180534.21942520072,5192.174060200238,727972.576185523,2226124.182128741,173649.7639709103,6065.245601743874,736724.9332324166,2252972.059712388,168883.06614658737,6414.647903079912,740605.4098512989,2264584.9380762023,167222.29655318646,6859.158942718404,741467.6297890267,2266966.104898726,159067.8535883104,7481.2889993868175,747866.2502043822,2287271.4130824897,
R0,109532.39632108959,3489.1438516615826,727052.7096088876,2224486.18238533,146879.47114926827,4678.733153680366,741581.8044921645,2267805.2428026693,162432.22407192513,5174.120565901643,737928.9520057592,2256664.6332164137,169558.60838696628,5401.110660220485,735494.7125433653,2248991.2907485915,182246.61308161754,5805.249846509505,728342.1323786936,2227412.3572792765,187570.45901517093,5974.825345326976,722591.8477910426,2209710.2862044717,190780.11207415338,6077.0594303923635,720652.401817517,2203946.905179923,194799.01067645705,6205.0696586696395,715272.8051047355,2187622.5945484964,
deathRate,177210.0842044899,2868.090296133929,734741.6069763281,2246671.879882535,179288.85172657185,4036.2966384725096,730513.8824397533,2234081.584953297,178828.98055805304,4586.329763030938,730468.6702487215,2233661.0102088563,178525.93232964576,5134.418808767674,731008.4657791761,2235338.147470651,177896.17862007476,6213.556004511576,730159.6523051566,2232599.769069697,177671.4529795599,6748.4355206523405,729654.0702866002,2231374.42031681,177383.5075697533,7275.928833262424,730511.6231494944,2233868.7659760597,176759.13196160644,8313.295517891347,730183.7315293081,2232696.6148585277,

vaccineEffectiveness,184319.60915665506,5871.2790522327205,748989.8023252382,2290005.6966269296,181688.40165471137,5787.469655020988,739485.6679262503,2261159.073589813,180494.55123013235,5749.443051485334,736454.5925582248,2251980.928790941,179288.4164292645,5711.025165154722,734487.759783037,2245844.035381655,177305.5032379625,5647.865281614501,727584.9840457743,2225124.604530457,176341.47976784062,5617.1591415764215,725347.8985840435,2218246.3909645244,175646.44017233708,5595.020693898713,725278.9329654012,2218163.0589513932,173764.83382773306,5535.087642775284,717830.1949062574,2195438.155482834,
prophylaxis72hrSuccessRate,181302.1267042815,5775.165999603924,736940.4482512311,2253143.597516009,180025.623676971,5734.506739789588,735144.4489101033,2247707.439393794,179390.59092244002,5714.27963400081,733056.2326351547,2241446.9630101905,178744.78628453444,5693.709421477265,730918.7624653067,2234880.873026124,177722.12768587633,5661.1356313590395,729927.2779439996,2232089.4821403995,177104.49439261353,5641.46273437954,729264.3391380336,2230116.8065433954,176589.57433297636,5625.0614661851105,728214.6894981434,2226927.4250697084,175479.14357638714,5589.691951426969,726222.6005877107,2220870.1916749757,
monoDaysPotency,175448.45842979552,5588.714566204689,712355.444591715,2178823.9570863876,176482.78525458317,5621.660013430221,708686.2785603702,2167293.1138970554,177243.96581516357,5645.905187538604,716124.5835291249,2190096.403058006,177756.69585705214,5662.236699099338,724423.6184795839,2215176.652666814,178115.02274236616,5673.6501510583485,714116.5199191651,2183340.1617696206,178680.28639673349,5691.6549667746995,718314.5676250091,2196195.057731276,179020.3712350755,5702.487371772033,723108.0404287588,2210757.795221963,179349.7665402413,5712.979293123855,712571.9678784923,2178175.2284537028,
vaccinationRate,380220.6222165869,12111.131251966395,782591.747281067,2391434.6197510404,300249.85660872643,9563.89706763176,761662.2232807168,2328009.776350043,259297.95704989543,8259.494418701861,753401.1529626994,2302890.1659436934,219879.69909265905,7003.941424044045,739907.3693490071,2262388.46264467,134732.24893110574,4291.819115569107,718276.1038887539,2196966.7160829487,93037.99517123606,2963.7707285878423,695829.3193235563,2129379.520072135,57452.56628851545,1830.1021825971243,663407.8200431424,2031216.2671229562,1.698414332337318,0.37261867683111155,0.0,0.0,

numTeams,186308.14430281796,5934.618005910033,808091.3297705527,2491084.369846075,181991.70641347353,5797.1305383526205,726780.5971577959,2231734.3218997177,179346.1419783715,5712.8638433108235,690584.2368682179,2116340.1350744213,179209.0357920308,5708.496727835454,712642.966998432,2182520.475945532,177821.7673041,5664.309359166925,735738.4468856913,2248409.91362422,176617.3123185058,5625.944978424007,744514.8874023814,2272362.6490967874,176058.22110402782,5608.13676767131,746764.7046073208,2277962.708130865,174177.74056989345,5548.239575932814,753591.8469157717,2295498.3837099494,
workingMinutesPerDay,184712.5261783096,5883.794270539469,654489.060475274,1979018.382354531,182158.2609365278,5802.435643845313,684545.1986326545,2082045.5761030656,180884.11552820393,5761.851479285833,701780.8972740482,2138915.5772310365,179556.03435445562,5719.549349100168,715199.0669037448,2183542.900675672,177255.12430369042,5646.260608528949,745725.7645103477,2283624.128854491,175912.59284330122,5603.498206763959,759053.4618685773,2326823.6663254453,174611.53729743313,5562.056898573728,772627.8557562254,2370751.4489052426,172046.45962470773,5480.353873103316,796368.5239347626,2447126.5532140736,
