Parameter,-50%,,,,-30%,,,,-20%,,,,-10%,,,,+10%,,,,+20%,,,,+30%,,,,+50%,,,
exposedDays,185762.02786119,5917.22307738658,651967.905206008,8035.20,181834.273302827,5792.11597604469,671957.176615657,8246.72,179428.62342085,5715.49105478888,688126.454932337,8406.68,180013.512001654,5734.12096441018,703900.984638248,8570.60,176841.010392112,5633.07018042192,747259.010551719,9030.58,175509.775586156,5590.66738427074,772679.490062852,9291.86,174579.272889992,5561.02812887452,800141.313294696,9613.58,170323.222792408,5425.45538141231,863860.19678282,10303.46
infectiousDays,195048.807640129,3156.7882193744,703783.572677371,8567.74,187922.431230328,4230.65197565416,715224.297565275,8684.62,185282.191308779,4751.82250554748,716578.220646167,8697.46,180427.277806293,5189.09858372027,723048.166654036,8762.42,173540.167117424,6061.41781906702,727851.313457848,8813.88,168863.907340703,6413.92024127187,732562.814756038,8870.06,167522.935993023,6871.48989499982,734968.8491667,8923.18,158804.366291369,7468.8974279061,740374.318730353,8969.76
R0,109339.8861843,3483.01203002156,722147.790705522,8805.42,146576.119358142,4669.07077246063,733919.873012816,8895.02,162081.309127093,5162.94319967022,730312.322030591,8839.42,169523.322994825,5399.98674749021,730557.742808059,8844.26,182081.079011283,5799.97724421276,723387.709506289,8765.74,187551.544438637,5974.22287696559,716856.388427425,8699.36,190694.674700539,6074.33807344505,713242.539701016,8656.52,194692.860987323,6201.68857166021,710325.675078744,8635.24
deathRate,176949.608521983,2863.8748158086,729211.74964017,8819.74,179178.055112559,4033.8024339749,724244.073291073,8790.44,178761.950488238,4584.6107753338,725347.255262626,8796.02,178564.391136378,5135.52482486677,723833.560122923,8781.00,178034.00279483,6218.36965532633,724390.580864324,8790.16,177663.076033926,6748.11735979677,724874.393345909,8778.38,177402.986761609,7276.72778702504,723211.36425825,8770.32,176905.156873596,8320.16293995256,724058.778430689,8776.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vaccineEffectiveness,184595.635898838,5880.07107440855,741132.793683309,8956.56,181776.120868556,5790.26369323458,732436.393152959,8868.28,180499.361939482,5749.59628248582,729781.273830055,8835.66,179263.541428155,5710.23284494352,726760.493750492,8793.36,177165.634239039,5643.41016489221,721251.219940087,8753.18,176289.19656724,5615.4938135767,719021.315179935,8730.54,175202.412479192,5580.87749412797,717716.774040488,8713.86,173398.689848496,5523.42520027808,712545.724616269,8660.10
prophylaxis72hrSuccessRate,181335.315497777,5776.22313126505,728839.346559076,8833.26,179966.50293717,5732.62362201533,727640.860199398,8808.62,179395.41676992,5714.43334720499,725986.000491021,8797.18,178977.184102434,5701.11177229274,725920.870323427,8800.88,177608.219822721,5657.50743045343,724444.41446945,8783.46,177049.055717529,5639.69689796331,722070.030700855,8753.96,176334.728642779,5616.94410419551,721490.673725326,8736.56,175310.825198027,5584.33066315718,718844.553956656,8732.82
monoDaysPotency,175510.59402226,5590.69371325574,705737.405886681,8604.00,176361.164758796,5617.78614925974,702210.437049794,8525.54,177094.111636853,5641.13202222209,710893.07270363,8610.80,177802.272871607,5663.68842120434,718950.885044301,8717.10,177956.157010582,5668.58994914163,707666.042350569,8542.98,178617.590906863,5689.65798581559,712238.82462768,8612.50,179063.035461269,5703.84631554637,715873.188730511,8646.82,179227.417065709,5709.08220946649,706463.408556402,8514.24
vaccinationRate,380091.748601732,12107.0263609527,773330.161014145,9262.58,300352.405395371,9567.16345845383,753950.863529817,9071.18,259397.616949507,8262.66879249758,745172.280699266,8996.06,219696.346835991,6998.10127568407,735342.81624718,8875.74,134710.413420628,4291.12360928666,713255.074603133,8669.34,92965.9499685123,2961.4759393519,693153.411095158,8462.80,57447.2135597255,1829.93031214996,663712.150348713,8176.32,1.69841433233732,0.372618676831112,0,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numTeams,186155.867386476,5929.76767135523,813026.434704323,11098.32,181910.277065834,5794.53684531608,724097.716234261,9387.26,179216.434082007,5708.73237872049,691274.499294117,8714.78,178940.632289704,5699.94752153473,706213.756883385,8768.24,177735.289610814,5661.55486587223,729437.710532828,8747.06,176411.916160387,5619.4026862471,735085.235796733,8632.52,175761.492866264,5598.68535999327,737339.339061128,8579.22,173845.580294172,5537.65958464056,739299.340835025,8412.28
workingMinutesPerDay,184744.352251952,5884.80799671755,647514.245343758,6458.86,182057.344374953,5799.22124274288,676763.761847277,7494.06,180839.778154948,5760.43924227689,694471.720149066,7961.74,179651.746640927,5722.59798320466,710011.090221095,8394.46,176941.180311058,5636.2608434675,739190.880000296,9152.02,175657.625076531,5595.37695639617,753881.193648091,9488.54,174408.125882992,5555.57782459617,767054.827561283,9808.62,172025.651063186,5479.69107741503,794874.05078272,10410.00
maxVaccsTeamDay,183996.467774925,5860.98633105034,729865.56663427,9855.76,181409.90007991,5778.59880410588,724184.991447484,9326.92,180315.01591095,5743.72448042213,722379.201590312,9098.40,179218.784802118,5708.80725388348,722302.22862046,8903.32,177293.567944587,5647.48511784248,726947.696681673,8667.02,176158.452241275,5611.32933656251,730107.311522252,8564.66,175232.418318402,5581.83324212698,734864.260385876,8510.06,173545.814819188,5528.11143467992,740098.267987192,8391.90
interventionCaseRatio,159831.351211035,5091.27742160495,744521.808602856,8977.42,169733.128486618,5406.66949417603,735184.682593452,8883.18,172605.932965178,5498.17425470706,730305.420309384,8840.24,175554.702394801,5592.09865592258,727753.494537429,8797.92,180732.080091912,5757.00883678325,721037.245850599,8753.86,180682.501462823,5755.42965498376,720891.235738279,8732.70,183080.767425077,5831.81938287318,717214.84711582,8707.92,185140.006775928,5897.41041244043,713819.869351183,8673.34
interventionLeadTime,152488.119370112,4857.38030942565,750507.007750329,9046.12,163351.241809175,5203.39321254646,741300.788425036,8962.24,169669.053969254,5404.62858836055,735586.349317577,8889.92,172687.853305379,5500.78358686036,731955.077370141,8848.54,180603.771964109,5752.92195771852,721668.679155995,8748.74,185206.280617396,5899.52137127023,715511.073446595,8683.08,187266.91525744,5965.15684366669,709716.674444289,8635.38,192107.576771034,6119.34191791217,699990.810915554,8546.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
migrationIntensity,168327.259096385,5361.88964759169,759101.83474599,9634.86,173450.799759031,5525.08500813727,742741.442417732,9237.14,175748.48508496,5598.27103502846,734177.344609229,9046.64,175674.994561762,5595.93021003155,730369.727008303,8917.40,178039.536908281,5671.24577117457,720841.535121574,8657.90,177959.011873996,5668.68088242101,716641.335069123,8556.38,177934.064012883,5667.8862414988,716416.399243601,8491.38,177896.014946638,5666.67430012987,711389.525448397,8360.90
maxDistance,173517.783105848,5527.21856711455,744209.632843567,9138.12,175720.216476505,5597.37062197507,733186.958567068,8883.08,176566.257421779,5624.31877464696,728354.461103419,8802.76,177439.01650287,5652.117955164,725794.583723651,8759.66,176556.476483379,5624.00723103453,728492.303123654,8860.16,174785.063899895,5567.58407862548,727613.790600626,8868.32,173343.354047008,5521.66263958591,729175.647605404,8910.46,169811.3397663,5409.16068348732,729294.002860948,8952.20
populationMultiplier,78102.0978055304,2488.03177124882,436065.815128812,5530.74,117815.982751058,3753.00109350134,559440.754824871,6914.40,137461.92472693,4378.76495238764,614751.751725302,7534.68,157815.343178737,5027.06339911765,670939.605419533,8166.26,198987.31236087,6338.4757163558,780339.334958425,9403.40,217426.124041807,6925.78997941748,836742.569910397,10021.76,238572.484029542,7599.34525205354,890626.599498067,10635.14,278817.516813926,8881.23272704764,1007730.51096897,11910.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
droneVaccineCapacity,184491.133591249,5876.74245903399,646578.995954204,12896.62,181959.766532115,5796.11318677567,676063.313270583,10687.96,180849.190749096,5760.73905286726,692228.105298579,9940.98,179442.631500082,5715.93723376,708805.276478842,9306.62,176996.832612891,5638.0334843126,739076.80684312,8310.72,175879.290941701,5602.43747235272,755670.730069297,7929.36,174446.14724352,5556.78888350679,769821.805013265,7577.72,171966.998536757,5477.82287320857,797482.744475528,6968.38
