Parameter,-50%,,,,-30%,,,,-20%,,,,-10%,,,,+10%,,,,+20%,,,,+30%,,,,+50%,,,
exposedDays,185643.080769425,5913.43436665071,651442.809018246,8026.53,181821.442084138,5791.70727520738,673314.617087129,8243.38,179466.489725927,5716.69717487498,687880.653221617,8410.44,179982.25458203,5733.12535098705,703708.856654479,8550.1,176670.209310766,5627.62981307972,747732.894868198,9017.67,175527.594196687,5591.2349438269,772879.032996977,9294.31,174490.286992055,5558.19374584706,798848.289510691,9587.53,170493.583632543,5430.88170050804,863652.467937873,10314.17
infectiousDays,195063.690314487,3157.02907725546,704005.781838046,8563.98,187901.571181037,4230.18238342874,714830.866947821,8676.57,185196.160943775,4749.61625486143,717145.610802242,8695.09,180411.00837015,5188.63069976215,722623.801995529,8758.42,173546.361075496,6061.63414940379,728625.427245004,8828.06,168854.770685435,6413.57322631654,732354.114701575,8867.99,167279.540036456,6861.50682660701,734117.400021106,8884.58,158784.283873218,7467.9529679713,740551.707070432,8976.24
R0,109214.960847746,3479.03295886359,720442.165234072,8777.65,146703.715935324,4673.13498656547,735842.055737449,8913.68,162274.121466508,5169.08467102775,730427.156746175,8857.21,169580.128661672,5401.79612537758,729826.97026286,8831.38,182021.906618816,5798.09248120672,723390.049452929,8763.59,187590.564678225,5975.46575224906,717027.548685303,8704.38,190795.711840751,6077.55631520193,714766.302425658,8678.83,194783.637773207,6204.57999992525,710369.960647893,8640.38
deathRate,177149.355114747,2867.10747008178,728181.731289665,8829.96,179006.345955835,4029.93699321204,724828.16192012,8774.91,178930.247738902,4588.92676218056,725511.199192814,8793.43,178426.616756957,5131.56264563917,725800.917033419,8786.96,177862.173644874,6212.36834581423,723671.021955878,8757.8,177599.312770623,6745.69559735862,724089.005747337,8767.84,177398.957854909,7276.56253835841,723261.103217911,8771.79,176659.410562216,8308.60570889772,723216.624697464,8757.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vaccineEffectiveness,184536.037007725,5878.17272655683,740812.921922734,8947.32,181729.506062322,5788.77891530193,733566.946390855,8871.2,180493.105176782,5749.39699165664,729958.598859666,8833.33,179340.324453109,5712.67854298244,726843.983145408,8807.53,177187.900433351,5644.11938919841,722991.218135695,8769.53,176148.769458647,5611.02091992128,719036.446615062,8720.9,175100.253922736,5577.62353296429,716020.7016821,8683.47,173285.979076639,5519.83512924347,710666.333885271,8638.3
prophylaxis72hrSuccessRate,181274.423765365,5774.28360373277,729905.258016115,8839.39,179982.299171858,5733.12676473535,727037.68650405,8803.19,179447.226306154,5716.08358801577,725967.900479766,8804.11,178787.88905845,5695.08233389491,725354.575098233,8783,177617.457933521,5657.80168338748,722864.825564312,8762.58,176969.940472139,5637.17691388576,722130.048115101,8749.02,176438.125012565,5620.23749228125,720843.318092845,8738.06,175424.090930174,5587.93841083742,718551.155398238,8715.89
monoDaysPotency,175468.056102147,5589.33879257828,705485.704698858,8594.95,176398.963548699,5618.99011884598,702422.060097871,8521.47,177087.660945499,5640.92655436376,711153.344663319,8631.63,177698.707445339,5660.3896483149,718441.676060876,8706.91,178030.132323787,5670.94621575162,708887.259316809,8568.91,178566.28800533,5688.02388237382,712418.840115791,8600.51,179004.377063386,5701.97792432596,717268.061054039,8665.11,179123.933131815,5705.78603227918,706619.203655841,8514.51
vaccinationRate,380196.733630271,12110.3703511149,772173.300457946,9266.47,300440.50010597,9569.96945707687,754955.139872135,9088.06,259207.121285569,8256.60111185016,744940.085797874,8987.63,219780.500283629,7000.78173693262,734292.93999514,8881,134685.671498016,4290.3355279612,712244.006462197,8655.34,93107.220523516,2965.97569629333,693838.222760992,8490.08,57426.4992551688,1829.27215936846,661681.236534051,8148.52,1.69841433233732,0.372618676831111,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
workingMinutesPerDay,184671.602896591,5882.49077938133,647563.957495697,6458.22,182114.848320864,5801.05286227277,678399.009235327,7501.25,180868.609723615,5761.35758732844,694205.805912702,7964.06,179545.257351613,5719.20607924528,709264.91715722,8382.61,176944.147371023,5636.35535046116,738616.477105571,9142.86,175718.850637152,5597.32711704529,753701.142960678,9489.41,174437.153605684,5556.50241756527,766579.240728423,9809.78,172035.695923681,5480.0110269848,794342.349966859,10399.14
maxVaccsTeamDay,183998.551797283,5861.05271147178,730104.470029573,9857.72,181376.969733502,5777.54990451544,723821.779527725,9321.32,180353.308548078,5744.9441800606,722328.849758161,9086.28,179377.233674329,5713.85417795545,722283.775117104,8922.47,177207.792057173,5644.75297853667,727489.691083805,8673.58,176311.083931536,5616.19097137279,730876.665833295,8575.83,175417.161072839,5587.71768069873,734766.103824884,8518.68,173700.821114865,5533.04870558037,740477.029947981,8401.91
interventionCaseRatio,159845.357260319,5091.72354322012,744561.135210116,8983.11,169734.344237879,5406.70821836908,733751.992530175,8876.5,172637.988646355,5499.19529440261,731277.004036694,8847.16,175552.661150983,5592.03363809195,727140.014314008,8804.49,180830.389795132,5760.1402040273,721687.776712047,8750.94,180800.598449219,5759.19128809036,721350.405441583,8754.44,183069.948293961,5831.47477118034,717955.574995488,8711.22,185162.708022037,5898.13349404857,714840.423067507,8676.16
