Base results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monocentric,No change,178297,5679,724251,8782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polycentric,No change,278093,8858,824228,11830,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city,No change,376483,11992,1257301,17055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rural,No change,34469,1098,225070,3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monocentric,interventionLeadTime,152327.2288719,4852.255614516,750016.229330275,9037.14,163392.432255796,5204.70521341,742326.012042438,8959.2,169745.224983844,5407.05479261422,733475.96393441,8873.35,172681.720416753,5500.58824168038,731441.851366318,8845.55,180735.390497877,5757.11428005588,720940.812724097,8748.9,185212.193584204,5899.70971148287,714649.866155381,8682.37,187089.297177196,5959.49934070617,710160.305392357,8630.7,192162.926280012,6121.10491417978,699835.944777867,8534.78
polycentric,interventionLeadTime,268789.152753926,8561.80851199744,850009.70111878,12219.36,272370.221232233,8675.87294628315,840889.910488347,12093.76,275034.281840552,8760.72878316149,832963.569046779,11965.82,275793.789887288,8784.92068492022,831424.732282612,11955.99,279154.441054892,8891.96437076871,819965.366054651,11781.87,281082.022771653,8953.36183253501,813035.034664891,11659.01,281804.010278095,8976.3586270486,810041.510432295,11617.9,284436.071180466,9060.19520600817,797275.401591857,11413.22
city,interventionLeadTime,355751.355329052,11331.7344861094,1270873.7180211,17317.56,364466.51479862,11609.3303286707,1265497.34472295,17184.2,369712.269757571,11776.4184664747,1261283.386443,17122.75,372067.812028078,11851.4473563335,1260442.404061,17112.87,378449.556817769,12054.7191178892,1256256.30420623,17054.49,382042.255282169,12169.1539893419,1251200.36059567,16956.88,383652.638834255,12220.4480335755,1251896.3505008,16979.63,387438.709262507,12341.0422010852,1248098.3973758,16912.57
rural,interventionLeadTime,26246.2086618101,836.314515317868,226656.849237735,3285.11,29739.5711403187,947.585330897372,224710.302077981,3223.14,31551.4359035325,1005.29696861329,223865.22360195,3189.35,32504.3238413299,1035.64841896119,223774.362031317,3178.88,35345.4193680429,1126.14318375957,224614.613338242,3167.1,37085.2253857886,1181.55960144233,223675.150713847,3140.13,37913.4440063974,1207.94007635534,223285.311649539,3129.8,40341.3140006545,1285.27275378075,221787.905303274,3100.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage change from base,,C,D,V,d,C,D,V,d,C,D,V,d,C,D,V,d,C,D,V,d,C,D,V,d,C,D,V,d,C,D,V,d
monocentric,% change: intervention delay,0.854345439754455,0.854420780862124,1.03557500000728,1.02905260760647,0.916405953301491,0.916482692975876,1.02495683408437,1.02017763607379,0.95203634937124,0.95211389199053,1.01273724707927,1.01040195855158,0.968506034407494,0.968583948174041,1.00992867302402,1.00723639262127,1.01367600407117,1.01375493573796,0.995429502650458,0.996230926895923,1.03878468838065,1.03886418585717,0.986743361286876,0.988655203826008,1.04931264786954,1.04939238258605,0.980544459575972,0.982771578228194,1.07776870210947,1.07784907803835,0.966289235055066,0.971849237075837
polycentric,% change: intervention delay,0.966544115651693,0.966562261458279,1.0312798171365,1.03291293322063,0.979421349089093,0.97943925787798,1.02021517163739,1.02229585798817,0.989001096182039,0.989018828534826,1.01059848615526,1.0114809805579,0.991732225864327,0.991749907983768,1.00873148240852,1.01065004226543,1.00381685642894,1.00383431595944,0.994828331547401,0.995931530008453,1.01074828482433,1.01076561667815,0.986420061760691,0.9855460693153,1.01334449366972,1.01336177772055,0.982788148949435,0.98207100591716,1.02280917240084,1.02282628200589,0.967299584085783,0.964769230769231
city,% change: intervention delay,0.944933384320279,0.944941167954423,1.01079512226674,1.01539489885664,0.968082263471711,0.968089587113965,1.00651899960546,1.00757549105834,0.982015840708799,0.982022887464533,1.00316740895219,1.00397244209909,0.988272543589161,0.988279466005127,1.00249852983573,1.00339313984169,1.00522349433512,1.00523007987735,0.999169096506113,0.999970096745822,1.0147662850173,1.01477268089909,0.995147829036701,0.994246848431545,1.01904372530567,1.01905003615539,0.995701387735157,0.995580768103196,1.02910014333318,1.02910625425994,0.992680668651183,0.991648783347992
rural,% change: intervention delay,0.761443867295545,0.761670778978022,1.00705046979933,1.03240414833438,0.862791817004226,0.863010319578663,0.99840183977421,1.01292897548712,0.915356868593013,0.915571009666017,0.994647103576444,1.00230986800754,0.943001649056541,0.943213496321666,0.994243399970309,0.99901948460088,1.02542630676965,1.02563131489943,0.997976688755684,0.995317410433689,1.0759008206153,1.07610164065786,0.993802597919967,0.986841609050912,1.09992874775588,1.10012757409412,0.992070518725458,0.983595223130107,1.17036508168657,1.17055806355259,0.98541744925256,0.97433689503457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% change: cases only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,monocentric,0.854345439754455,0.916405953301491,0.95203634937124,0.968506034407494,1,1.01367600407117,1.03878468838065,1.04931264786954,1.07776870210947,,,,,,,,,,,,,,,,,,,,,,,
,polycentric,0.966544115651693,0.979421349089093,0.989001096182039,0.991732225864327,1,1.00381685642894,1.01074828482433,1.01334449366972,1.02280917240084,,,,,,,,,,,,,,,,,,,,,,,
,city,0.944933384320279,0.968082263471711,0.982015840708799,0.988272543589161,1,1.00522349433512,1.0147662850173,1.01904372530567,1.02910014333318,,,,,,,,,,,,,,,,,,,,,,,
