Parameter,-50%,,,,-30%,,,,-20%,,,,-10%,,,,+10%,,,,+20%,,,,+30%,,,,+50%,,,,
numTeams,Parameter,-50%,,,,-30%,,,,-20%,,,,-10%,,,,+10%,,,,+20%,,,,+30%,,,,+50%,,,,
numTeams,157750.63832889142,5025.002416960985,405765.36513633095,5424.86,152027.94811957525,4842.722905430362,430731.5102840308,5574.49,149642.83447783918,4766.752106018644,451695.3126490995,5769.6,149075.78890120896,4748.690532345118,455536.65476540406,5775.8,147625.59344221384,4702.498809483338,466277.57242133224,5808.55,146659.86068566996,4671.738225063766,471468.50189755025,5819.12,146254.70738574685,4658.833255028042,473640.750622633,5830.74,145271.5325131368,4627.517103151983,478346.78994537925,5856.69,
