Location,Urban,x,y,N,S,E,I,R,V,mapX,mapY
Upington,1,-28.44776,21.25612,"71,373","71,373",0,0,0,0,-28.44776,21.25612
Parys,1,-26.9033,27.45727,"71,319","71,319",0,0,0,0,-26.9033,27.45727
Schweizer-Reneke,1,-27.18871,25.32931,"70,214","70,214",0,0,0,0,-27.18871,25.32931
Ga-Rankuwa,1,-25.61692,27.99471,"68,767","68,767",0,0,0,0,-25.61692,27.99471
Knysna,1,-34.03627,23.04713,"68,659","68,659",0,0,0,0,-34.03627,23.04713
Saldanha,1,-33.01167,17.9442,"68,284","68,284",0,0,0,0,-33.01167,17.9442
Barberton,1,-25.78842,31.05319,"67,927","67,927",0,0,0,0,-25.78842,31.05319
Lichtenburg,1,-26.152,26.15968,"65,863","65,863",0,0,0,0,-26.152,26.15968
Heidelberg,1,-26.50476,28.35921,"64,199","64,199",0,0,0,0,-26.50476,28.35921
Graaff-Reinet,1,-32.25215,24.53075,"62,896","62,896",0,0,0,0,-32.25215,24.53075
Fochville,1,-26.48862,27.49387,"62,416","62,416",0,0,0,0,-26.48862,27.49387
Oudtshoorn,1,-33.60047,22.19955,"61,507","61,507",0,0,0,0,-33.60047,22.19955
Atlantis,1,-33.56668,18.48335,"60,266","60,266",0,0,0,0,-33.56668,18.48335
KwaDukuza,1,-29.32816,31.28954,"59,899","59,899",0,0,0,0,-29.32816,31.28954
Mossel Bay,1,-34.18307,22.14605,"59,031","59,031",0,0,0,0,-34.18307,22.14605
Fort Beaufort,1,-32.77477,26.63376,"58,419","58,419",0,0,0,0,-32.77477,26.63376
Kraaifontein,1,-33.84808,18.71723,"57,911","57,911",0,0,0,0,-33.84808,18.71723
Wellington,1,-33.63981,19.0112,"55,543","55,543",0,0,0,0,-33.63981,19.0112
Heilbron,1,-27.28115,27.9709,"55,196","55,196",0,0,0,0,-27.28115,27.9709
Viljoenskroon,1,-27.20841,26.94855,"54,955","54,955",0,0,0,0,-27.20841,26.94855
Port Shepstone,1,-30.74137,30.45499,"52,793","52,793",0,0,0,0,-30.74137,30.45499
